id,"(5, 13)","(10, 16)","(8, 4)","(4, 18)","(13, 8)","(18, 4)","(0, 12)","(14, 11)","(12, 10)","(1, 4)","(11, 9)","(7, 16)","(15, 12)","(12, 2)","(18, 17)","(8, 15)","(12, 14)","(3, 9)","(1, 17)","(17, 1)","(18, 15)","(7, 1)","(9, 10)","(17, 4)","(4, 8)","(14, 7)","(11, 10)","(2, 6)","(9, 2)","(5, 6)","(9, 14)","(14, 5)","(0, 16)","(11, 2)","(8, 9)","(3, 10)","(11, 14)","(18, 9)","(10, 3)","(14, 4)","(15, 16)","(10, 0)","(3, 2)","(0, 1)","(3, 14)","(4, 12)","(14, 17)","(6, 11)","(8, 10)","(18, 10)","(7, 18)","(13, 11)","(2, 11)","(10, 13)","(8, 2)","(18, 2)","(8, 14)","(5, 11)","(18, 14)","(6, 7)","(12, 1)","(16, 18)","(14, 9)","(4, 16)","(13, 7)","(2, 7)","(6, 5)","(15, 0)","(7, 8)","(0, 18)","(5, 7)","(1, 12)","(16, 13)","(9, 1)","(6, 3)","(15, 18)","(13, 5)","(2, 5)","(6, 0)","(14, 10)","(11, 1)","(10, 6)","(16, 8)","(2, 4)","(13, 3)","(13, 0)","(14, 2)","(5, 4)","(6, 15)","(15, 13)","(3, 1)","(17, 12)","(0, 8)","(13, 15)","(12, 18)","(2, 15)","(15, 8)","(11, 17)","(6, 13)","(5, 15)","(1, 16)","(4, 3)","(16, 6)","(3, 17)","(4, 0)","(6, 9)","(8, 1)","(18, 1)","(9, 18)","(10, 11)","(13, 9)","(2, 9)","(12, 8)","(17, 16)","(15, 6)","(5, 9)","(8, 17)","(6, 10)","(4, 13)","(13, 10)","(6, 2)","(10, 7)","(9, 8)","(2, 10)","(13, 6)","(6, 14)","(16, 11)","(11, 8)","(5, 10)","(13, 2)","(10, 5)","(13, 14)","(14, 1)","(8, 18)","(2, 14)","(5, 2)","(10, 4)","(1, 18)","(5, 14)","(7, 5)","(15, 11)","(16, 7)","(4, 6)","(9, 12)","(7, 3)","(10, 17)","(7, 0)","(10, 15)","(11, 12)","(16, 5)","(0, 7)","(17, 18)","(18, 8)","(1, 8)","(16, 4)","(12, 16)","(15, 7)","(7, 15)","(16, 3)","(3, 12)","(16, 0)","(15, 5)","(10, 9)","(14, 18)","(0, 3)","(7, 13)","(16, 15)","(15, 4)","(9, 16)","(17, 8)","(15, 3)","(4, 11)","(7, 9)","(8, 12)","(11, 16)","(18, 12)","(0, 15)","(6, 4)","(2, 1)","(3, 16)","(14, 8)","(13, 4)","(5, 1)","(16, 9)","(0, 13)","(10, 2)","(6, 17)","(12, 3)","(7, 10)","(4, 7)","(17, 6)","(10, 14)","(12, 0)","(7, 6)","(0, 9)","(13, 17)","(2, 17)","(7, 2)","(4, 5)","(8, 16)","(15, 9)","(7, 14)","(5, 17)","(18, 16)","(16, 10)","(9, 3)","(1, 11)","(9, 0)","(14, 12)","(11, 3)","(16, 2)","(12, 13)","(11, 0)","(0, 10)","(16, 14)","(0, 6)","(2, 18)","(9, 15)","(15, 10)","(4, 15)","(11, 18)","(0, 2)","(5, 18)","(3, 0)","(17, 11)","(1, 7)","(15, 2)","(7, 11)","(9, 13)","(3, 18)","(15, 14)","(11, 13)","(1, 5)","(14, 16)","(8, 3)","(4, 9)","(2, 8)","(18, 3)","(8, 0)","(1, 3)","(3, 13)","(18, 0)","(17, 7)","(5, 8)","(12, 6)","(1, 0)","(10, 1)","(0, 11)","(3, 8)","(17, 5)","(1, 15)","(6, 12)","(4, 10)","(9, 6)","(17, 3)","(8, 13)","(7, 4)","(17, 0)","(13, 12)","(18, 13)","(2, 12)","(11, 6)","(4, 2)","(1, 13)","(4, 14)","(5, 12)","(16, 1)","(17, 15)","(7, 17)","(3, 6)","(1, 9)","(14, 3)","(12, 11)","(14, 0)","(0, 5)","(17, 13)","(10, 18)","(6, 16)","(15, 1)","(0, 4)","(16, 17)","(14, 15)","(13, 16)","(17, 9)","(8, 6)","(2, 16)","(9, 11)","(1, 10)","(6, 1)","(18, 6)","(0, 17)","(1, 6)","(12, 7)","(5, 16)","(14, 13)","(1, 2)","(13, 1)","(15, 17)","(1, 14)","(10, 8)","(12, 5)","(3, 11)","(17, 10)","(12, 4)","(9, 7)","(11, 7)","(17, 2)","(9, 5)","(17, 14)","(4, 1)","(12, 17)","(8, 11)","(12, 15)","(11, 5)","(3, 7)","(9, 4)","(18, 11)","(14, 6)","(10, 12)","(2, 3)","(6, 18)","(11, 4)","(2, 0)","(5, 3)","(3, 5)","(5, 0)","(9, 17)","(13, 18)","(7, 12)","(4, 17)","(3, 4)","(8, 7)","(12, 9)","(11, 15)","(18, 7)","(0, 14)","(2, 13)","(16, 12)","(6, 8)","(8, 5)","(3, 15)","(18, 5)"
40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,
128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,
133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,
134,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
